1,1001,0,1
1,1002,1,2
1,1003,2,2
1,1004,2,2
1,1005,0,2
1,1006,1,1
1,1007,1,1
1,1008,1,1
1,1009,1,2
1,1010,2,1
1,1011,2,2
1,1012,3,1
1,1013,4,2
1,1014,3,2
1,1015,2,1
1,1016,2,2
1,1017,3,2
1,1018,2,2
2,1001,2,1
2,1002,3,2
2,1003,1,2
2,1004,1,2
2,1005,1,2
2,1006,1,1
2,1007,1,1
2,1008,5,1
2,1009,4,2
2,1010,5,1
2,1011,2,2
2,1012,0,1
2,1013,1,2
2,1014,0,2
2,1015,1,1
2,1016,1,2
2,1017,3,2
2,1018,3,2
3,1001,2,1
3,1002,3,2
3,1003,1,2
3,1004,0,2
3,1005,1,2
3,1006,1,1
3,1007,1,1
3,1008,5,1
3,1009,0,2
3,1010,5,1
3,1011,2,2
3,1012,3,1
3,1013,1,2
3,1014,2,2
3,1015,1,1
3,1016,1,2
3,1017,3,2
3,1018,3,2
4,1001,2,1
4,1002,3,2
4,1003,1,2
4,1004,1,2
4,1005,1,2
4,1006,1,1
4,1007,1,1
4,1008,5,1
4,1009,4,2
4,1010,5,1
4,1011,2,2
4,1012,3,1
4,1013,1,2
4,1014,2,2
4,1015,1,1
4,1016,1,2
4,1017,3,2
4,1018,3,2
5,1001,2,1
5,1002,3,2
5,1003,1,2
5,1004,1,2
5,1005,1,2
5,1006,1,1
5,1007,1,1
5,1008,5,1
5,1009,4,2
5,1010,5,1
5,1011,2,2
5,1012,3,1
5,1013,1,2
5,1014,2,2
5,1015,1,1
5,1016,1,2
5,1017,3,2
5,1018,3,2
6,1001,2,1
6,1002,3,2
6,1003,1,2
6,1004,1,2
6,1005,1,2
6,1006,1,1
6,1007,1,1
6,1008,5,1
6,1009,4,2
6,1010,5,1
6,1011,2,2
6,1012,3,1
6,1013,1,2
6,1014,2,2
6,1015,1,1
6,1016,1,2
6,1017,3,2
6,1018,3,2
7,1001,2,1
7,1002,3,2
7,1003,1,2
7,1004,1,2
7,1005,1,2
7,1006,1,1
7,1007,1,1
7,1008,5,1
7,1009,4,2
7,1010,5,1
7,1011,2,2
7,1012,3,1
7,1013,1,2
7,1014,2,2
7,1015,1,1
7,1016,1,2
7,1017,3,2
7,1018,3,2
8,1001,2,1
8,1002,3,2
8,1003,1,2
8,1004,1,2
8,1005,1,2
8,1006,1,1
8,1007,1,1
8,1008,5,1
8,1009,4,2
8,1010,5,1
8,1011,2,2
8,1012,3,1
8,1013,1,2
8,1014,2,2
8,1015,1,1
8,1016,1,2
8,1017,3,2
8,1018,3,2
9,1001,2,1
9,1002,3,2
9,1003,1,2
9,1004,1,2
9,1005,1,2
9,1006,1,1
9,1007,1,1
9,1008,5,1
9,1009,4,2
9,1010,5,1
9,1011,2,2
9,1012,3,1
9,1013,1,2
9,1014,2,2
9,1015,1,1
9,1016,1,2
9,1017,3,2
9,1018,3,2
10,1001,2,1
10,1002,3,2
10,1003,1,2
10,1004,1,2
10,1005,1,2
10,1006,1,1
10,1007,1,1
10,1008,5,1
10,1009,4,2
10,1010,5,1
10,1011,2,2
10,1012,3,1
10,1013,1,2
10,1014,2,2
10,1015,1,1
10,1016,1,2
10,1017,3,2
10,1018,3,2
2,1019,5,2
6,1019,7,2
10,1019,9,2
2,1020,5,2
6,1020,7,2
10,1020,9,2
3,1021,3,2
9,1021,2,2
7,1022,4,2
9,1024,5,2
5,1022,5,2
5,1023,4,1
7,1024,6,1
11,1026,2,1
4,1027,3,1
